Order,File_Type,SKU_number,SoldFlag,SoldCount,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice
2,historical,1737127,0.0,0.0,d,15,1,682743.0,44.99,2015,8,28.97,31.84
3,historical,3255963,0.0,0.0,d,7,1,1016014.0,24.81,2005,39,30.98248656474811,15.54
4,historical,612701,0.0,0.0,d,0,0,340464.0,46.0,2013,34,30.19,27.97
6,historical,115883,1.0,1.0,d,4,1,334011.0,100.0,2006,20,133.93,83.15
7,historical,863939,1.0,1.0,d,2,1,1287938.0,121.95,2010,28,4.0,23.99
8,historical,214948,0.0,0.0,d,0,0,1783153.0,132.0,2011,33,138.98,13.64
9,historical,484059,0.0,0.0,d,13,1,2314801.0,95.95,2010,33,90.77,46.49
10,historical,146401,0.0,0.0,d,4,1,721111.0,207.8,2011,57,187.9,30.56
11,historical,110568,0.0,0.0,d,11,1,436667.0,119.81,2008,36,63.99,96.92
12,historical,764270,0.0,0.0,d,5,1,6652211.0,49.95,2004,19,53.99,28.99
13,historical,1597828,0.0,0.0,d,9,1,161348.0,36.95,2008,21,30.98248656474811,27.98
14,historical,178736,0.0,0.0,d,4,1,3005118.0,55.95,2010,16,34.51,11.52
15,historical,525904,0.0,0.0,d,10,1,1785056.0,104.99,2010,15,4.39,73.89
16,historical,3016759,0.0,0.0,d,2,1,4323581.0,90.89524344324518,1994,26,30.98248656474811,61.85
17,historical,169222,0.0,0.0,d,8,1,2352021.0,129.95,2006,22,75.84,8.97
18,historical,3071053,0.0,0.0,d,5,1,7693526.0,64.95,2005,12,128.99,37.39
19,historical,110699,1.0,1.0,d,6,1,383129.0,120.39,2007,69,170.45,78.99
20,historical,115159,0.0,0.0,d,1,0,909831.0,126.2,2001,33,38.92,44.46
21,historical,143125,0.0,0.0,d,9,1,2798929.0,167.75,2006,20,6.97,28.49
22,historical,144296,0.0,0.0,d,2,1,2491442.0,94.6,2001,33,11.23,4.99
23,historical,159588,0.0,0.0,d,2,1,1315627.0,53.95,2007,37,9.93,15.89
24,historical,178701,0.0,0.0,d,0,0,1814079.0,399.95,2012,34,71.79,91.9
25,historical,210839,1.0,1.0,d,1,0,1568054.0,42.95,2001,23,57.94,18.99
26,historical,210920,0.0,0.0,d,1,0,54999.0,97.95,2009,34,42.35,63.98
27,historical,2387463,1.0,1.0,d,6,1,270193.0,90.89524344324518,1979,22,141.98,76.22
28,historical,2398402,1.0,1.0,d,2,1,156638.0,98.95,1988,67,142.71,14.02
29,historical,244942,1.0,1.0,d,9,1,1160035.0,177.95,2003,52,45.8,9.99
30,historical,247825,0.0,0.0,d,2,1,2450935.0,51.95,2004,46,57.89,12.49
31,historical,251957,0.0,0.0,d,3,1,1728372.0,70.95,2009,47,7.47,4.0
32,historical,3133247,0.0,0.0,d,4,1,2925930.0,50.0,2001,14,112.86,59.69
33,historical,51449,0.0,0.0,d,8,1,3048814.0,46.75,2000,38,122.18,20.92
